PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,YEAR,SAMPLE_TYPE,SAM_CODE,SAMPLE_CAT,AL,AL_ALERT,ANC,ANC_ALERT,CA,CA_ALERT,CL,CL_ALERT,COLOR,COLOR_ALERT,COND,COND_ALERT,DOC,DOC_ALERT,K,K_ALERT,MG,MG_ALERT,SODIUM,SODIUM_ALERT,NH4,NH4_ALERT,NO2,NO2_ALERT,NO3,NO3_ALERT,NO3NO2,NO3NO2_ALERT,NTL,NTL_ALERT,PHLAB,PHLAB_ALERT,PTL,PTL_ALERT,SIO2,SIO2_ALERT,SO4,SO4_ALERT,TSS,TSS_ALERT,TURB,TURB_ALERT,CHEM_COM,HUC_8,XLAT_DD,XLON_DD,AGGR_ECO9_2015
17-Feb-15,10000,FW08KS001,5-Aug-08,1,2008,CHEMW,REGULAR,P,0.0003,,4851.26,,153.9,,41.92,,10.0,,1039.77,,3.05,,4.571000000000001,,14.18,,62.93,,0.02,,0.0,R,0.81812,,,,1316.0,,8.24,,63.7256,,19.129,,260.24,,24.7,,6.6,,,10260010,39.01489,-98.01056,['SPL']
17-Feb-15,10001,FW08KS003,11-Aug-08,1,2008,CHEMW,REGULAR,P,0.0016,,3670.51,,77.2,,21.62,,10.0,,514.86,,1.02,,2.9389999999999996,,8.135,,21.38,,0.012,R,0.00583,R,1.9696099999999999,,,,2219.0,,8.26,,67.6794,,25.796999999999997,,54.53,,16.9,,8.47,,,11060003,37.39529,-98.92609,['SPL']
17-Feb-15,10002,FW08KS005,22-Jul-08,1,2008,CHEMW,REGULAR,P,0.0003,,2345.26,,33.06,,4.38,,21.0,,257.46,,8.27,,5.971,,6.525,,5.867000000000001,,0.36700000000000005,,0.00309,R,0.045689999999999995,,,,2024.0,H,7.76,,387.3913,H,13.199000000000002,H,8.06,,460.8,,433.0,,,10290101,38.19898,-95.42765,['TPL']
17-Feb-15,10003,FW08KS006,12-Aug-08,1,2008,CHEMW,REGULAR,P,0.0003,,4288.89,,78.56,,12.09,,14.0,,487.83,,2.22,,2.205,,6.796,,17.99,,0.035,,0.01126,R,3.3697800000000004,,,,3963.0,H,8.33,H,138.0413,,25.265,,17.29,,87.0,,32.6,,,11060005,37.477129999999995,-98.36480999999999,['SPL']
17-Feb-15,10004,FW08KS012,15-Jul-08,1,2008,CHEMW,REGULAR,P,0.0003,,4426.84,,65.52,,7.47,,10.0,,451.0,,1.47,,1.7630000000000001,,13.44,,9.765,,0.012,R,0.0,R,0.21066999999999997,,,,362.0,H,8.27,H,36.69,H,10.370999999999999,H,13.4,,34.6,,16.1,,,11070102,37.786429999999996,-96.42996,['TPL']
17-Feb-15,10006,FW08KS036,25-Aug-08,1,2008,CHEMW,REGULAR,P,0.0003,,6188.57,,150.7,,63.94,,5.0,,1638.79,,2.98,,6.829,,53.8,,145.7,,0.099,,0.0,R,1.2156200000000001,,,,1714.0,,8.15,,32.6069,,23.518,,503.19,H,8.4,,4.8,,,11030004,37.99322,-99.32134,['SPL']
17-Feb-15,10007,FW08KS039,8-Jul-08,1,2008,CHEMW,REGULAR,P,0.0003,,5388.01,,86.53,,8.8,,5.0,,583.0,,2.02,,2.306,,16.29,,12.97,,0.045,,0.0,R,0.05471,,,,1184.0,H,7.91,,342.0175,H,13.383,H,48.17,H,586.8,,305.0,,,10270102,39.01571,-95.84103,['TPL']
17-Feb-15,10060,FW08LA011,16-Jul-08,1,2008,CHEMB,REGULAR,P,0.0318,,476.74,,6.909,,9.17,,22.0,,116.4,,4.06,,1.7169999999999999,,1.6480000000000001,,12.04,,0.048,,0.00386,R,0.056389999999999996,,,,491.0,H,7.25,,71.5725,H,4.65,,13.45,,8.5,,12.4,,,8040202,32.97472222,-92.07638889,['CPL']
17-Feb-15,10109,FW08DE002,20-Aug-08,1,2008,CHEMB,REGULAR,P,0.0146,,345.11,,9.892999999999999,,11.21,H,22.0,,148.03,,1.51,,2.705,,3.725,,8.868,,0.025,,0.009559999999999999,R,6.95317,H,,,7200.0,H,7.14,,33.5163,,18.607,,4.82,H,1.9,,4.14,,,2060008,38.545,-75.52611111,['CPL']
17-Feb-15,10828,FW08KS033,29-Jul-08,1,2008,CHEMW,REGULAR,P,0.0003,,3923.97,,191.6,,72.93,,11.0,,2443.54,,3.25,,8.138,,93.9,,248.4,,0.004,R,0.0,R,0.68561,,,,1563.0,H,8.31,,169.1581,H,15.129000000000001,,1081.96,,149.0,,93.73,,,11030001,37.9748,-101.78792,['SPL']
17-Feb-15,10829,FW08DE001,3-Sep-08,2,2008,CHEMW,REGULAR,P,0.006999999999999999,,877.85,,9.866,,17.17,,35.0,,163.05,,6.99,,3.403,,5.083,,10.01,,0.467,,0.019880000000000002,R,0.24369000000000002,,,,1573.0,,7.36,,149.0788,,13.839,,4.0,,24.0,,30.8,,,2040205,39.35916667,-75.67527778,['CPL']
17-Feb-15,10842,FW08DE013,13-Aug-08,1,2008,CHEMW,REGULAR,P,0.0007,,897.82,,23.04,,71.14,,22.0,,359.91,,3.3,,3.0189999999999997,,11.44,,23.1,,0.01,R,0.0,R,0.21618,,,,1258.0,,7.68,H,102.535,,10.964,,11.02,,9.2,,20.04,,,2040205,39.73055556,-75.59805556,['CPL']
17-Feb-15,10854,FW08NV003,16-Jun-08,1,2008,CHEMW,REGULAR,P,0.0068,,1484.54,,16.06,,6.05,,10.0,H,214.8,,2.39,H,3.1460000000000004,,4.87,,17.34,,0.006,R,0.0,R,0.01755,R,,,335.0,,8.34,,370.0925,,25.344,,20.95,,25.4,,25.4,H,,16040107,40.31519,-116.9035,['XER']
17-Feb-15,10856,FW08NV069,6-Aug-08,1,2008,CHEMW,REGULAR,P,0.0007,,2093.62,,26.13,,6.29,,10.0,H,258.87,,2.08,,8.13,,5.129,,16.0,,0.005,R,0.0,R,0.0,R,,,256.0,,8.44,,41.2581,,53.06100000000001,,12.22,,4.6,,3.89,,,17040213,41.88662,-114.68625,['XER']
