"VARIABLE"	"DESCRIPTION"	"SAMPLE_TYPE"	"UNITS"	"RANGE_LOW"	"RANGE_HIGH"	"LEGAL_VALUES"
"AGGR_ECO3_2015"	"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions: EHIGH=Eastern Highlands (NAP, SAP); PLNLOW=Plains and Lowlands (CPL, NPL, SPL, TPL, UMW); WMTNS=Western Mountains and Xeric (WMT, XER)."					
"AGGR_ECO9_2015"	"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions: CPL=Coastal Plains; NAP=Northern Appalachians; NPL=Northern Plains; SAP=Southern Appalachians; SPL=Southern Plains; TPL=Temperate Plains; UMW=Upper Midwest; WMT=Western Mountains; XER=Xeric West."					
"DATE_COL"	"Date of field collection"					
"EPA_REG"	"EPA region"					
"GREAT_RIVER"	"Great river site"					
"HUC8"	"8-digit HUC catalog unit number"					
"INDEX_VISIT"	"Index visit for NRSA population estimates"					
"INDEXVIS_FTIS"	"Index visit for NRSA population estimates for fish tissue only"					
"LAT_DD83"	"Nominal latitude in decimal degrees"					
"LMR_SITE"	"Lower Mississippi River site"					
"LOC_NAME"	"Site name from verification form"					
"LON_DD83"	"Nominal longitude in decimal degrees"					
"MASTER_SITEID"	"If used in WSA, WSA Site_ID. If new, current Site_ID"					
"MISS_SUB"	"Mississippi sub-basin"					
"RT_NRSA"	"Reference/So-so/Trashed designations for sites used in NRSA"					
"RT_NRSA_CAT"	"Impact designations for use in indicator development for NRSA"					
"RT_NRSA_FISH"	"RT_NRSA designation specific to Fish indicator development"					
"RT_NRSA_PHAB"	"RT_NRSA designation specific to physical habitat indicator development, based separate criteria"					
"SITE_CLASS"	"Site class (NAWQA, PROB, HAND)"					
"SITE_ID"	"Site identification code"					
"STATE"	"State in which site located"					
"STRAHLERORDER"	"Strahler stream order from RF3 stream data"					
"UID"	"Unique site visit ID"					
"URBAN"	"Urban site"					
"US_L3CODE_2015"	"Omernik Level III ecoregion code (2015)"					
"US_L4CODE_2015"	"Omernik Level IV ecoregion code (2015)"					
"VISIT_NO"	"Visit number for that year"					
"WGTNRSA09"	"NRSA population weight for site"					
"XLAT_DD"	"X-site GPS latitude decimal degrees"					
"XLON_DD"	"X-site GPS longitude decimal degrees"					
"YEAR"	"Sampling year"					
