huc_8,hu_8_name,area_acres,area_sqkm,states,wsa_cpl_total_n_low_medium,wsa_cpl_total_n_medium_high,wsa_cpl_total_p_low_medium,wsa_cpl_total_p_medium_high,wsa_nap_total_n_low_medium,wsa_nap_total_n_medium_high,wsa_nap_total_p_low_medium,wsa_nap_total_p_medium_high,wsa_npl_total_n_low_medium,wsa_npl_total_n_medium_high,wsa_npl_total_p_low_medium,wsa_npl_total_p_medium_high,wsa_sap_total_n_low_medium,wsa_sap_total_n_medium_high,wsa_sap_total_p_low_medium,wsa_sap_total_p_medium_high,wsa_spl_total_n_low_medium,wsa_spl_total_n_medium_high,wsa_spl_total_p_low_medium,wsa_spl_total_p_medium_high,wsa_tpl_total_n_low_medium,wsa_tpl_total_n_medium_high,wsa_tpl_total_p_low_medium,wsa_tpl_total_p_medium_high,wsa_umw_total_n_low_medium,wsa_umw_total_n_medium_high,wsa_umw_total_p_low_medium,wsa_umw_total_p_medium_high,wsa_wmt_total_n_low_medium,wsa_wmt_total_n_medium_high,wsa_wmt_total_p_low_medium,wsa_wmt_total_p_medium_high,wsa_xer_total_n_low_medium,wsa_xer_total_n_medium_high,wsa_xer_total_p_low_medium,wsa_xer_total_p_medium_high,nla_cgp_total_n_low_medium,nla_cgp_total_n_medium_high,nla_cgp_total_p_low_medium,nla_cgp_total_p_medium_high,nla_cpe_total_n_low_medium,nla_cpe_total_n_medium_high,nla_cpe_total_p_low_medium,nla_cpe_total_p_medium_high,nla_gpm_total_n_low_medium,nla_gpm_total_n_medium_high,nla_gpm_total_p_low_medium,nla_gpm_total_p_medium_high,nla_gpn_total_n_low_medium,nla_gpn_total_n_medium_high,nla_gpn_total_p_low_medium,nla_gpn_total_p_medium_high,nla_ngl_total_n_low_medium,nla_ngl_total_n_medium_high,nla_ngl_total_p_low_medium,nla_ngl_total_p_medium_high,nla_sam_total_n_low_medium,nla_sam_total_n_medium_high,nla_sam_total_p_low_medium,nla_sam_total_p_medium_high,nla_sep_total_n_low_medium,nla_sep_total_n_medium_high,nla_sep_total_p_low_medium,nla_sep_total_p_medium_high,nla_sgl_total_n_low_medium,nla_sgl_total_n_medium_high,nla_sgl_total_p_low_medium,nla_sgl_total_p_medium_high,nla_tmp_total_n_low_medium,nla_tmp_total_n_medium_high,nla_tmp_total_p_low_medium,nla_tmp_total_p_medium_high,nla_wmt_total_n_low_medium,nla_wmt_total_n_medium_high,nla_wmt_total_p_low_medium,nla_wmt_total_p_medium_high,nla_xer_total_n_low_medium,nla_xer_total_n_medium_high,nla_xer_total_p_low_medium,nla_xer_total_p_medium_high,likely_to_discharge_n_or_p,has_n_limits,has_p_limits,has_n_monitoring_requirement,has_p_monitoring_requirement,has_n_dmr_data,has_p_dmr_data,nlcd11a,nlcd11p,nlcd12a,nlcd12p,nlcd21a,nlcd21p,nlcd22a,nlcd22p,nlcd23a,nlcd23p,nlcd24a,nlcd24p,nlcd31a,nlcd31p,nlcd41a,nlcd41p,nlcd42a,nlcd42p,nlcd43a,nlcd43p,nlcd52a,nlcd52p,nlcd71a,nlcd71p,nlcd81a,nlcd81p,nlcd82a,nlcd82p,nlcd90a,nlcd90p,nlcd95a,nlcd95p,attains_303d_count,attains_tmdl_count
01010001,Upper St. John,1367993.366,5536.072162,ME,0,0,0,0,329,441,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,1174,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,5,5,63.1314,0.0114,0,0,23.5287,0.0043,13.5009,0.0024,5.6574,0.001,1.251,0.0002,41.4108,0.0075,1018.6623,0.1842,1370.7531,0.2479,1492.353,0.2699,835.2468,0.1511,87.8319,0.0159,25.0704,0.0045,78.4368,0.0142,434.0187,0.0785,38.3481,0.0069,0,0
01010002,Allagash,786602.6529,3183.267666,ME,0,0,0,0,329,441,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,1174,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.8767,0.0395,0,0,1.7244,0.0005,0.135,0,0.0099,0,0,0,23.418,0.0074,555.7905,0.1746,667.8009,0.2098,1064.2941,0.3344,519.3855,0.1632,58.1859,0.0183,0.1602,0.0001,0.0162,0,148.3884,0.0466,18.036,0.0057,0,0
01010003,Fish,571073.2529,2311.05122,ME,0,0,0,0,329,441,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,1174,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,140.697,0.0609,0,0,16.83,0.0073,9.8253,0.0043,2.5614,0.0011,0.3123,0.0001,10.6137,0.0046,389.034,0.1683,413.163,0.1788,838.6362,0.3629,145.4643,0.0629,55.2312,0.0239,24.4296,0.0106,100.0548,0.0433,149.5701,0.0647,14.7528,0.0064,0,6
01010004,Aroostook,1537553.221,6222.256478,ME,0,0,0,0,329,441,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,1174,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,4,6,5,6,102.726,0.0165,0,0,65.1789,0.0105,41.6367,0.0067,12.3057,0.002,6.3486,0.001,27.2223,0.0044,810.2862,0.1302,1248.4548,0.2006,2106.513,0.3385,516.4596,0.083,122.049,0.0196,93.8754,0.0151,456.9336,0.0734,580.5072,0.0933,32.0085,0.0051,1,10
01010005,Meduxnekeag,405714.1495,1641.86674,ME,0,0,0,0,329,441,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,1174,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,2,3,4,12.2382,0.0075,0,0,43.7499,0.0267,16.8489,0.0103,4.2669,0.0026,1.3941,0.0008,3.6882,0.0022,240.0534,0.1464,177.732,0.1084,526.2777,0.3209,75.7566,0.0462,12.8268,0.0078,42.1668,0.0257,257.2542,0.1568,216.8883,0.1322,9.0153,0.0055,11,38
01020001,West Branch Penobscot,1365943.343,5527.776014,ME,0,0,0,0,329,441,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,1174,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,3,3,3,428.2398,0.0775,0,0,17.8335,0.0032,6.849,0.0012,4.2003,0.0008,1.584,0.0003,53.505,0.0097,979.9605,0.1773,1349.775,0.2443,1432.1304,0.2592,730.8702,0.1323,112.4046,0.0203,1.5723,0.0003,0.558,0.0001,344.2599,0.0623,62.3394,0.0113,0,0
01020002,East Branch Penobscot,713423.2398,2887.121119,ME,0,0,0,0,329,441,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,1174,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.2883,0.0521,0,0,9.5229,0.0033,1.2564,0.0004,0.6048,0.0002,0.1395,0,18.3087,0.0063,392.7663,0.136,723.5811,0.2506,1057.7673,0.3664,237.1059,0.0821,38.3274,0.0133,1.5291,0.0005,1.4184,0.0005,229.3704,0.0794,25.1271,0.0087,0,0
01020003,Mattawamkeag,966239.8224,3910.233423,ME,0,0,0,0,329,441,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,1174,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,2,2,101.0376,0.0258,0,0,54.5616,0.014,12.9186,0.0033,2.2536,0.0006,0.4059,0.0001,2.4534,0.0006,549.7893,0.1406,766.8144,0.1961,1456.596,0.3725,226.3581,0.0579,29.6289,0.0076,34.4142,0.0088,58.3965,0.0149,577.4418,0.1477,37.2582,0.0095,0,0
01020004,Piscataquis,921585.6306,3729.524339,ME,0,0,0,0,329,441,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,1174,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,4,169.6536,0.0455,0,0,45.9774,0.0123,12.5325,0.0034,3.9384,0.0011,1.1034,0.0003,9.657,0.0026,697.2876,0.187,808.452,0.2168,1275.3576,0.342,280.5543,0.0752,79.1559,0.0212,22.5612,0.006,29.8935,0.008,253.9782,0.0681,39.4299,0.0106,4,0
01020005,Lower Penobscot,1514353.539,6128.370707,ME,0,0,0,0,329,441,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,1174,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,15,16,15,17,266.472,0.0435,0,0,165.7719,0.027,95.3253,0.0156,37.0674,0.006,14.8653,0.0024,11.1087,0.0018,986.0868,0.1609,1320.4422,0.2155,1848.8385,0.3017,240.9147,0.0393,42.8562,0.007,124.3674,0.0203,122.1516,0.0199,705.2823,0.1151,147.1149,0.024,30,0
