HUC_6,Year,Corn,Soybeans,Small grains,Cotton,Rice,Vegetables,Orchards,Greenhouse,Other
H010100,2017,1833,1254,37038,,,51854,137,11,22151
H010200,2017,9257,,1170,,,3453,412,58,33209
H010300,2017,14719,,293,,,758,356,195,59311
H010400,2017,4002,,,,,1069,1059,66,24189
H010500,2017,163,,,,,1158,435,154,55529
H010600,2017,3639,,170,,,3813,857,2181,38624
H010700,2017,4894,,,,,4409,2983,1417,41120
H010801,2017,19289,,,,,1685,980,208,99533
H010802,2017,13153,457,523,,,15501,2829,4282,62847
H010900,2017,4433,,6,,,7313,1328,3782,38678
H011000,2017,27052,896,244,,,4314,2209,2331,76913
H020200,2017,127581,20181,9147,,,18313,12112,6044,375400
H020301,2017,14230,16479,4953,,,4385,1515,5217,41112
H020302,2017,976,31,1074,,,5905,2451,7574,1611
H020401,2017,87654,54297,15668,,,5446,2669,6206,166259
H020402,2017,215880,206982,74035,,,52553,8025,22960,128808
H020403,2017,62688,66589,20510,,,13368,860,5213,19062
H020501,2017,217007,46799,33596,,,12116,2530,2185,648998
H020502,2017,97827,54011,19613,,,4732,630,2641,133676
H020503,2017,600233,270941,120930,,,16359,18803,2760,434618
H020600,2017,269389,288411,113409,,,13954,1345,6317,59854
H020700,2017,360632,233096,102548,,,8128,21738,9435,615236
H020801,2017,302627,374561,107548,,,29728,2102,10125,162897
H020802,2017,60141,75966,22507,,,1554,4729,2561,253191
H030101,2017,61376,159918,47873,57526,,3076,1525,3129,339017
H030102,2017,192144,455068,97392,165007,,15743,322,359,105050
H030201,2017,127083,289631,55115,94866,,33907,329,3011,98819
H030202,2017,137905,332801,67854,50209,,49003,749,4629,109756
H030203,2017,25306,35591,1980,6593,,766,144,1515,3559
H030300,2017,141058,246031,65622,28424,,33988,1813,8747,181613
H030401,2017,135481,188089,91851,15225,,4477,2457,7613,204322
H030402,2017,335579,480751,107958,141259,,10194,2063,5458,139535
H030501,2017,72596,90240,47754,38809,,8815,9856,12313,286370
H030502,2017,85549,51663,11208,85274,,13371,7309,9814,103510
H030601,2017,34570,35970,21767,66786,,3870,11766,4758,234511
H030602,2017,36900,19418,14418,149235,,2700,8757,1205,119211
H030701,2017,36463,32660,23086,166588,,21290,48065,5542,245274
H030702,2017,23922,7285,5701,136835,,906,8416,595,137874
H030801,2017,7257,1377,939,,,19472,27537,28406,93880
H030802,2017,,,,,,4711,44369,,4010
H030901,2017,2494,,,,,6643,93638,16430,49996
H030902,2017,,182,,,,98765,166920,40751,396103
H031001,2017,835,,,,,11644,129672,8720,30776
H031002,2017,1603,,,,,43624,31611,16418,79587
H031101,2017,9695,1749,918,13686,,6713,1924,1047,67384
H031102,2017,58029,19307,16189,268482,,52182,23229,9393,364848
H031200,2017,14809,4648,2335,88928,,6466,15991,2626,61477
H031300,2017,139012,45077,39304,465902,,42442,76083,11436,591733
H031401,2017,5910,8499,5368,38396,,606,3248,7504,76577
H031402,2017,14383,9136,5938,80558,,1694,3320,747,155031
H031403,2017,10750,3707,4586,50372,,540,1595,,73544
H031501,2017,35145,36967,5948,75305,,2284,2868,5895,269412
H031502,2017,28343,24006,3094,59102,,2000,1777,3986,144101
H031601,2017,77219,225116,5224,76611,,6926,1364,1624,278069
H031602,2017,8458,9429,2711,11599,,1520,1812,3584,72328
H031700,2017,8006,15911,522,17622,,3136,3749,1844,148479
H031800,2017,11429,33195,825,,,950,658,1989,166333
H040101,2017,,,,,,20,19,,1676
H040102,2017,951,,852,,,,46,80,46588
H040103,2017,7505,3327,4005,,,89,318,19,68613
H040201,2017,995,,4651,,,83,30,7,21574
H040202,2017,,,679,,,545,13,29,13979
H040203,2017,,,,,,,16,,331
H040301,2017,427626,199435,79488,,,19899,3124,1119,390432
H040302,2017,501215,272818,51236,,,50170,421,2230,298635
H040400,2017,123411,105740,16333,,,8924,1709,983,57622
H040500,2017,1426397,1220525,145209,,,79350,40914,12243,366431
H040601,2017,181759,56313,39814,,,39010,52019,1964,253795
H040602,2017,,302,,,,,676,,602
H040700,2017,23856,22453,15578,,,2273,282,268,103718
H040801,2017,258495,212731,131214,,,9429,201,247,291772
H040802,2017,445709,554129,109480,,,19808,812,2719,237229
H040803,2017,,,66,,,,,,2386
H040900,2017,131652,265887,42693,,,6481,1173,6182,86018
H041000,2017,1708786,2747317,349543,,,26139,2763,1724,182208
H041100,2017,55514,141695,12793,,,2785,1834,4973,63065
H041201,2017,85249,27252,13750,,,9530,17294,2235,131946
