1,"t","Watershed: Released July 25, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
1,"t","Table 1.  Summary by Hydrologic Unit Code: 2017 and 2012"
1,"t","[For meaning of abbreviations and symbols, see introductory text.]"
1,"h","","","","","","","",""
1,"h","","","","","H01","H01","",""
1,"h","","","United States","United States","New England","New England","H010100","H010100"
1,"h","","","","","","","",""
1,"h","Item","","2017","2012","2017","2012","2017","2012"
1,"h","","","","","","","",""
1,"d","FARMS AND LAND IN FARMS","",,,,,,
1,"d","","",,,,,,
1,"d","Farms","number",2042220,2109303,27874,30221,724,865
1,"d","Land in farms","acres",900217576,914527657,3054141,3333581,308734,341865
1,"d","","",,,,,,
1,"d","LAND USE AND PRACTICES","",,,,,,
1,"d","","",,,,,,
1,"d","Total cropland","farms",1475627,1551654,20009,20316,609,744
1,"d","","acres",396433817,389690414,1032688,1020676,170591,184316
1,"d","  Harvested cropland","farms",1245548,1288875,17975,18762,457,546
1,"d","","acres",320041858,314964600,820042,870657,114056,145385
1,"d","  Other pasture and grazing land that could have been used","",,,,,,
1,"d","   for crops without additional improvement","farms",137707,141537,1943,1950,52,65
1,"d","","acres",13825975,12802847,39965,35929,1900,1871
1,"d","  Cropland idle or used for cover crops or soil-improvement","",,,,,,
1,"d","   but not harvested and not pastured or grazed","farms",374252,381453,4291,3564,349,388
1,"d","","acres",36003378,36382032,139156,87578,50541,31599
1,"d","  Cropland on which all crops failed","",,,,,,
1,"d","   or were abandoned","farms",79334,97248,1183,1210,15,48
1,"d","","acres",9542580,11395368,14809,15016,439,2378
1,"d","  Cropland in summer fallow (see text)","farms",94106,61442,1567,927,53,55
1,"d","","acres",17020026,14145567,18716,11496,3655,3083
1,"d","Total woodland","farms",794789,840399,17376,19399,543,653
1,"d","","acres",73092054,77012907,1481643,1657513,105305,112324
1,"d","  Woodland pastured","farms",326279,350761,4288,4537,75,74
1,"d","","acres",26009273,27999006,77074,93129,4559,3695
