25,"t","Watershed: Released July 25, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
25,"t","Table 1.  Summary by Hydrologic Unit Code: 2017 and 2012 (continued)"
25,"t","[For meaning of abbreviations and symbols, see introductory text.]"
25,"h","","","","","","","",""
25,"h","","","","","","","",""
25,"h","","","H040202","H040202","H040203","H040203","H040301","H040301"
25,"h","","","","","","","",""
25,"h","Item","","2017","2012","2017","2012","2017","2012"
25,"h","","","","","","","",""
25,"d","FARMS AND LAND IN FARMS","",,,,,,
25,"d","","",,,,,,
25,"d","Farms","number",251,262,17,10,7248,7885
25,"d","Land in farms","acres",45925,49705,1728,1605,1604183,1622940
25,"d","","",,,,,,
25,"d","LAND USE AND PRACTICES","",,,,,,
25,"d","","",,,,,,
25,"d","Total cropland","farms",223,206,17,8,6399,6909
25,"d","","acres",23698,26684,575,540,1221781,1190257
25,"d","  Harvested cropland","farms",183,192,14,8,5777,6042
25,"d","","acres",15303,22759,351,"(D)",1120574,1111917
25,"d","  Other pasture and grazing land that could have been used","",,,,,,
25,"d","   for crops without additional improvement","farms",22,18,2,2,608,637
25,"d","","acres",2159,787,"(D)","(D)",20784,18713
25,"d","  Cropland idle or used for cover crops or soil-improvement","",,,,,,
25,"d","   but not harvested and not pastured or grazed","farms",64,51,3,-,1488,1460
25,"d","","acres",2379,2142,54,-,62073,51293
25,"d","  Cropland on which all crops failed","",,,,,,
25,"d","   or were abandoned","farms",53,22,-,1,522,289
25,"d","","acres",3501,620,-,"(D)",12644,6042
25,"d","  Cropland in summer fallow (see text)","farms",22,23,4,-,312,202
25,"d","","acres",356,376,"(D)",-,5706,2292
25,"d","Total woodland","farms",164,189,15,9,3932,4453
25,"d","","acres",11764,11550,591,747,226068,249877
25,"d","  Woodland pastured","farms",54,47,3,2,585,643
25,"d","","acres",1396,1047,"(D)","(D)",20525,21951
25,"d","  Woodland not pastured","farms",131,168,12,9,3659,4176
25,"d","","acres",10368,10503,"(D)","(D)",205543,227926
25,"d","Permanent pasture and rangeland, other than cropland","",,,,,,
25,"d"," and woodland pastured","farms",123,140,11,3,2647,2849
25,"d","","acres",5466,7408,76,199,67798,68950
25,"d","Land in farmsteads, homes, buildings, livestock facilities,","",,,,,,
25,"d"," ponds, roads, wasteland, etc.","farms",175,191,15,9,4829,5901
25,"d","","acres",4997,4063,486,119,88536,113856
25,"d","Irrigated land","farms",30,23,2,2,290,285
25,"d","","acres","(D)",391,"(D)","(D)",8648,8678
25,"d","  Harvested cropland","farms",28,23,2,-,281,276
25,"d","","acres","(D)",391,"(D)",-,8426,8587
25,"d","  Pastureland and other land","farms",2,-,-,2,14,12
25,"d","","acres","(D)",-,-,"(D)",222,91
25,"d","Cropland on which no-till practices were used","farms",20,24,2,1,1319,1189
25,"d","","acres",838,810,"(D)","(D)",151341,116848
25,"d","Cropland on which reduced tillage, excluding","",,,,,,
25,"d"," no till, practices were used (see text)","farms",7,16,3,1,1557,1297
25,"d","","acres",277,398,38,"(D)",286245,237646
25,"d","FERTILIZERS AND CHEMICALS","",,,,,,
25,"d","","",,,,,,
25,"d","Commercial fertilizer, lime, and soil conditioners","",,,,,,
25,"d"," used","farms",71,65,6,4,3711,4088
25,"d","","acres treated",3350,3660,58,75,811055,801484
