HUC_8,AREA_ACRES,HUC_8
04150306,551248.201671,04150306
05010001,1648037.09494,05010001
05050002,1078369.23741,05050002
05080001,1598490.90472,05080001
05090203,900352.682902,05090203
05120111,1291942.51424,05120111
05120115,671319.553201,05120115
05140102,946114.578675,05140102
05140206,600162.803804,05140206
06020002,1324768.79325,06020002
07010108,551745.336077,07010108
07010201,653060.329288,07010201
07010204,944895.164897,07010204
03110206,885756.537145,03110206
03060106,1193646.83075,03060106
03060109,574710.729561,03060109
03060204,2291286.43939,03060204
03070101,1868937.17767,03070101
03070104,1464212.4532,03070104
03070105,516992.001034,03070105
03080202,2622254.28476,03080202
03090101,1897940.21928,03090101
03090202,6624335.30959,03090202
03090205,889202.865655,03090205
03100101,1503779.4385,03100101
03100201,1503788.21958,03100201
03100202,230730.825511,03100202
03100208,1289505.99223,03100208
03110103,610653.957594,03110103
03110203,963050.308344,03110203
03120001,1167214.05838,03120001
03120002,587719.147459,03120002
03090102,217848.086209,03090102
03090201,427338.344896,03090201
03100204,270144.815013,03100204
03110102,2643877.35088,03110102
03110202,1148986.72782,03110202
03120003,980735.871151,03120003
03130001,1010289.02075,03130001
03130002,1950991.56694,03130002
03140101,1971440.48607,03140101
03150105,1018563.49356,03150105
03150106,1663280.13734,03150106
03160105,509007.521735,03160105
03090204,2555113.40214,03090204
03100206,546467.324263,03100206
03130004,805650.330667,03130004
03130012,826498.461098,03130012
03140203,992583.176858,03140203
03150202,1170213.07744,03150202
03160104,704051.538527,03160104
03160110,635897.90641,03160110
03160204,619292.460263,03160204
03160205,551937.227547,03160205
03170001,586244.807141,03170001
03170003,423135.145317,03170003
03170004,1124360.96691,03170004
03170007,809534.541891,03170007
03180001,1572927.33578,03180001
03180004,1136247.75241,03180004
03180005,780655.97575,03180005
04100007,1065834.11476,04100007
03130011,715384.074539,03130011
03140107,695551.896402,03140107
03150107,1232068.56442,03150107
03150201,1540073.80344,03150201
03160101,1154002.74154,03160101
03170006,396115.817225,03170006
03170008,660047.461924,03170008
03180002,1259585.38291,03180002
04050003,1299777.63904,04050003
04100001,573203.578663,04100001
04150302,656548.496335,04150302
04150305,810401.281292,04150305
05020005,938956.819364,05020005
05030101,1268801.46368,05030101
05040002,639850.375335,05040002
05120101,1017392.78155,05120101
05120108,1463557.95936,05120108
03140102,798595.527938,03140102
03140301,527824.178276,03140301
03150104,1191279.95875,03150104
03150110,1084179.44483,03150110
03160102,444516.049994,03160102
03160108,909839.935626,03160108
03170005,1166286.14125,03170005
03170009,2146658.24319,03170009
03180003,779106.202136,03180003
04030203,372223.064096,04030203
04050002,2460011.55434,04050002
04050006,1288922.96158,04050006
04090005,583087.916886,04090005
04100004,526950.224653,04100004
04100010,949904.162561,04100010
04110002,512788.975824,04110002
04130002,919432.84791,04130002
03160106,1045130.74717,03160106
03160109,883955.834158,03160109
03160111,772796.035973,03160111
04030101,3237852.23766,04030101
04030110,591423.392028,04030110
04050004,1119911.19795,04050004
04050005,599787.92797,04050005
04100002,695666.5892,04100002
04110003,1351663.77867,04110003
04150307,592176.544524,04150307
05010004,783176.105937,05010004
05030204,769307.186199,05030204
05040001,1661441.81247,05040001
05090201,1345840.31269,05090201
05100205,2076353.32399,05100205
05120107,520207.196096,05120107
05140203,700705.838562,05140203
06030005,1456675.58716,06030005
04100008,502980.6492,04100008
04100009,687232.055751,04100009
04100011,1260775.87655,04100011
04110001,1001617.37553,04110001
04140101,1150710.2181,04140101
04140201,2211924.47655,04140201
05010007,878931.206028,05010007
05010009,319605.986233,05010009
05020006,1133449.38313,05020006
05040003,798837.021705,05040003
05060001,2052739.88898,05060001
05060003,725972.13005,05060003
05090202,1124827.69111,05090202
05120105,417061.439626,05120105
05130203,603840.089294,05130203
05130204,555894.085138,05130204
06010108,1122949.69954,06010108
05120109,920862.322108,05120109
05120112,1562668.67057,05120112
05120114,1374846.11822,05120114
05140204,755440.798784,05140204
06010205,1266765.29008,06010205
06020001,1197045.28537,06020001
06030001,1269582.12266,06030001
06040001,1335834.6101,06040001
07010106,1245584.00811,07010106
07010205,817488.077878,07010205
07020012,1166335.95426,07020012
07050002,756118.226936,07050002
07050003,485556.974915,07050003
07080104,1530229.61427,07080104
07080107,1032901.81774,07080107
07080207,929849.413737,07080207
07080208,1074362.4214,07080208
07090001,1873757.60305,07090001
04150101,1241807.07323,04150101
11090201,1290359.9729,11090201
14060004,739972.232264,14060004
17100204,496566.264511,17100204
11120202,806031.383252,11120202
07130002,842606.970089,07130002
02010001,440260.281963,02010001
17020006,1069455.00532,17020006
10150005,561315.217143,10150005
06010102,754216.21279,06010102
17070303,1001238.42833,17070303
12060104,409096.766242,12060104
01050002,6830570.57894,01050002
10120106,895866.296558,10120106
10250003,1767724.40762,10250003
05120203,764910.52972,05120203
09020109,803727.539724,09020109
13090001,2624661.87683,13090001
17090001,867542.205704,17090001
12080002,1725247.93541,12080002
10030201,830071.941512,10030201
12030108,583989.847515,12030108
12020002,1021310.68729,12020002
10100005,1009192.31294,10100005
17050112,395139.841767,17050112
10180003,659615.517119,10180003
16060013,1776164.15069,16060013
04080202,664558.873897,04080202
12080007,401707.375132,12080007
11040004,470548.842866,11040004
07120002,1373578.79143,07120002
10090202,1604966.27801,10090202
18090203,3444375.61701,18090203
10250010,647216.145649,10250010
11020011,1214401.67302,11020011
17050202,705606.637202,17050202
17040101,1094877.78698,17040101
09020311,1126577.42671,09020311
14030001,932740.987078,14030001
18090205,1309126.00314,18090205
10110204,558289.67689,10110204
15010009,1093724.92825,15010009
10210002,1320227.25566,10210002
14070007,914334.071897,14070007
15020004,1764023.2579,15020004
12060101,1590672.08639,12060101
16050302,630967.900534,16050302
10190018,896524.062685,10190018
10120203,669021.467031,10120203
07050007,1218941.67403,07050007
11090104,561350.276471,11090104
12100404,97746.5628477,12100404
15050202,1636014.93184,15050202
03140104,548529.785463,03140104
05070102,474144.75968,05070102
06030003,824745.308778,06030003
18070304,1042620.23123,18070304
17060206,881847.969335,17060206
05040005,543342.256537,05040005
17010104,587813.996298,17010104
10210008,710404.682758,10210008
18060007,732136.263803,18060007
14050001,1678224.40057,14050001
12050003,683298.554127,12050003
16040107,1499441.8096,16040107
10120104,698874.471468,10120104
12070204,642127.735025,12070204
12090108,514976.795429,12090108
10110205,1133199.13251,10110205
15050304,890142.434716,15050304
11090102,1008612.81452,11090102
10060004,547758.933123,10060004
07130008,612013.392233,07130008
10250016,1392474.43444,10250016
10110202,763014.659532,10110202
14070006,1912064.17746,14070006
06040003,991058.101216,06040003
07030002,633030.685071,07030002
05050003,1054144.31286,05050003
05030102,682754.219391,05030102
10150002,937218.123563,10150002
11130104,898254.559731,11130104
06040006,439852.640064,06040006
07130003,993806.4592,07130003
03020104,745737.668363,03020104
04120103,563948.131178,04120103
03040204,877160.242072,03040204
04090003,473563.906213,04090003
18040001,1709330.21817,18040001
12110102,567953.544059,12110102
15050203,1271758.15016,15050203
12090107,886580.543498,12090107
18090202,2163113.88967,18090202
18020122,656980.532429,18020122
12110101,531592.969201,12110101
17100102,764769.557818,17100102
07060002,641260.813287,07060002
10190007,1198303.1704,10190007
05020001,880177.380099,05020001
11120102,618863.752838,11120102
16060002,1334191.62323,16060002
12070101,1724762.76213,12070101
17120007,1227209.74946,17120007
11140104,640591.801729,11140104
10070003,547494.050542,10070003
18010208,520986.247509,18010208
07060005,953567.630405,07060005
17110010,443974.941411,17110010
05130106,508059.446671,05130106
03030006,1009212.83072,03030006
10050011,339697.677025,10050011
02050303,603516.880263,02050303
06010103,554010.900304,06010103
16020303,599088.301417,16020303
11010009,498541.905762,11010009
07010105,502445.992675,07010105
13030103,817513.725108,13030103
09020301,708577.310501,09020301
11080004,952533.769815,11080004
08020401,452622.636816,08020401
04120104,499448.349882,04120104
13070008,1874651.16516,13070008
13060006,480816.702757,13060006
07080201,1085819.85255,07080201
12100401,1141592.08594,12100401
15010011,1844127.57133,15010011
17020001,1406681.97822,17020001
12020006,676827.117607,12020006
16060004,1224168.70968,16060004
14080204,2665485.94431,14080204
07040006,436818.904542,07040006
17090005,497233.430865,17090005
03050103,873362.921021,03050103
05010006,1069419.52536,05010006
11020008,913896.663452,11020008
15020014,665878.728425,15020014
05070203,693596.1253,05070203
17090002,425510.065363,17090002
18040009,1030674.80848,18040009
03130014,578139.924075,03130014
10050001,322927.642537,10050001
10250004,1399335.76723,10250004
05120207,731688.611306,05120207
11070107,728960.527629,11070107
04020201,2761792.91554,04020201
14070002,996447.072904,14070002
05050005,909927.158683,05050005
14040200,2457999.1953,14040200
10240009,506818.639179,10240009
18100100,5627072.62629,18100100
15080103,1351536.82433,15080103
07130001,1252230.34316,07130001
12070202,465961.064898,12070202
02040103,379789.36727,02040103
12050006,1073678.30977,12050006
03020105,2594634.31357,03020105
05080003,948425.235638,05080003
13020210,1159652.66261,13020210
18010211,1304205.86827,18010211
04020104,462061.498966,04020104
17120005,2639666.98708,17120005
15010014,425008.241831,15010014
15030104,2194903.22185,15030104
10070001,1659438.32701,10070001
03020103,628681.213343,03020103
13020206,728596.902325,13020206
17020010,952766.574806,17020010
18030008,86619.6728869,18030008
15020012,547642.465534,15020012
11030002,910938.956292,11030002
10080016,830330.636435,10080016
10090207,681387.549677,10090207
07020008,842165.640394,07020008
17060207,1093242.4249,17060207
03030003,927710.895592,03030003
03010203,548323.571759,03010203
07040004,911245.746815,07040004
05090104,463232.389093,05090104
17010215,626659.151922,17010215
11140306,759784.659389,11140306
01020005,1514353.53938,01020005
17070101,1603091.66027,17070101
17060101,344115.575908,17060101
05130108,1146091.33265,05130108
04120102,351487.868249,04120102
16050104,1060082.65777,16050104
14030004,586763.459121,14030004
03030004,1043776.08582,03030004
03150108,895565.240421,03150108
10050005,539948.604826,10050005
04060101,2970552.67601,04060101
10190017,471774.101548,10190017
18020117,363031.241705,18020117
16060006,919210.765263,16060006
15060104,450666.680519,15060104
10090209,1205311.45998,10090209
05130102,496160.89245,05130102
17070201,1373566.63621,17070201
03140303,670077.484216,03140303
08040205,1080409.97796,08040205
03050105,1591329.71656,03050105
08020205,616092.504035,08020205
02050103,674913.793105,02050103
10040101,1213558.32156,10040101
05020004,908917.226412,05020004
17110016,101957.638208,17110016
11080008,509769.691562,11080008
05050009,571378.949861,05050009
06010104,640349.051584,06010104
18090102,1231813.72311,18090102
18070303,789539.635577,18070303
17110013,303682.79275,17110013
01030001,1017396.12763,01030001
10070006,1787307.87712,10070006
15010007,985953.947825,15010007
05110005,590462.275669,05110005
05100202,348988.473439,05100202
09020303,908550.978605,09020303
05130104,882968.4089,05130104
17100307,1034257.86665,17100307
03060101,658238.212545,03060101
03150204,899696.618432,03150204
10070007,1284308.85908,10070007
10170201,755539.619395,10170201
10240006,571263.169931,10240006
07140108,228231.812529,07140108
12050002,1004469.81135,12050002
11100101,1740638.89828,11100101
18020128,647567.762953,18020128
07070006,485003.63932,07070006
10180005,654914.311238,10180005
17070105,1382863.52489,17070105
18090204,1030890.14763,18090204
16020307,1156753.53207,16020307
12020004,1034179.50171,12020004
11090101,1077302.19887,11090101
12090105,780736.955297,12090105
18010109,709946.031894,18010109
13040204,828251.466976,13040204
15020006,1225711.84522,15020006
11060006,1368074.54372,11060006
10130304,652011.91577,10130304
10170204,1085371.60396,10170204
