AnthropogenicHUC_PUptake_year,AnthropogenicHUC_PUptake_day,HUC_8,AREA_ACRES,PFOR_year,PWETL_year,PAGC_year,PAGP_year,PDEV_year,PFOR_day,PWETL_day,PAGC_day,PAGP_day,PDEV_day
675635.9040592754 kilogram,1851.0572713952752 kilogram,04150306,551248.201671 acre,3644251.000058685 kilogram,268541.37221826275 kilogram,285622.0868151912 kilogram,121472.4450258214 kilogram,0.0 kilogram,9984.249315229274 kilogram,735.72978689935 kilogram,782.5262652470992 kilogram,332.80121924882576 kilogram,0.0 kilogram
2562009.2816784023 kilogram,7019.203511447678 kilogram,05010001,1648037.09494 acre,11259172.088442612 kilogram,145882.43879458195 kilogram,1620257.604296994 kilogram,795869.2385868265 kilogram,0.0 kilogram,30847.046817650993 kilogram,399.67791450570394 kilogram,4439.061929580806 kilogram,2180.4636673611685 kilogram,0.0 kilogram
1023203.1863701721 kilogram,2803.29640101417 kilogram,05050002,1078369.23741 acre,7153849.015558119 kilogram,1642.63126850532 kilogram,209682.71532414388 kilogram,811877.8397775228 kilogram,0.0 kilogram,19599.586343994848 kilogram,4.500359639740602 kilogram,574.4731926688874 kilogram,2224.322848705542 kilogram,0.0 kilogram
19131048.38439795 kilogram,52413.83119013137 kilogram,05080001,1598490.90472 acre,1255903.209072969 kilogram,13943.547102700877 kilogram,18632176.774646554 kilogram,484928.06264869636 kilogram,0.0 kilogram,3440.830709788956 kilogram,38.201498911509255 kilogram,51047.0596565659 kilogram,1328.5700346539627 kilogram,0.0 kilogram
2602242.0410392415 kilogram,7129.430249422579 kilogram,05090203,900352.682902 acre,3810896.9281068454 kilogram,7052.223960819485 kilogram,1852755.263408504 kilogram,742434.5536699182 kilogram,0.0 kilogram,10440.81350166259 kilogram,19.32116153649174 kilogram,5076.041817557545 kilogram,2034.0672703285431 kilogram,0.0 kilogram
10934182.285603134 kilogram,29956.66379617297 kilogram,05120111,1291942.51424 acre,2755682.761896368 kilogram,47534.06644424675 kilogram,10642297.686782395 kilogram,244350.5323764926 kilogram,0.0 kilogram,7549.815786017447 kilogram,130.23031902533356 kilogram,29156.979963787384 kilogram,669.4535133602537 kilogram,0.0 kilogram
5805836.650601424 kilogram,15906.401782469655 kilogram,05120115,671319.553201 acre,1183173.0880551462 kilogram,6590.778608938963 kilogram,5363306.264774814 kilogram,435939.60721767147 kilogram,0.0 kilogram,3241.5701042606743 kilogram,18.056927695723186 kilogram,14693.98976650634 kilogram,1194.3550882675931 kilogram,0.0 kilogram
3525359.6074654693 kilogram,9658.519472508135 kilogram,05140102,946114.578675 acre,3534004.941664719 kilogram,55323.65622233027 kilogram,2087346.2847341993 kilogram,1382689.6665089398 kilogram,0.0 kilogram,9682.205319629367 kilogram,151.57166088309663 kilogram,5718.756944477258 kilogram,3788.1908671477804 kilogram,0.0 kilogram
3671779.77959272 kilogram,10059.67062902115 kilogram,05140206,600162.803804 acre,1550654.3398230628 kilogram,87243.95069790893 kilogram,3147503.0254935767 kilogram,437032.80340123386 kilogram,0.0 kilogram,4248.368054309761 kilogram,239.02452246002449 kilogram,8623.295960256375 kilogram,1197.3501463047503 kilogram,0.0 kilogram
2019384.682690212 kilogram,5532.5607744937315 kilogram,06020002,1324768.79325 acre,8527513.401135378 kilogram,13239.951600441127 kilogram,1245447.1581924716 kilogram,760697.5728972993 kilogram,0.0 kilogram,23363.050414069527 kilogram,36.27384000120857 kilogram,3412.1839950478675 kilogram,2084.1029394446555 kilogram,0.0 kilogram
8214910.895585095 kilogram,22506.60519338382 kilogram,07010108,551745.336077 acre,1128939.0045445233 kilogram,166156.995039 kilogram,7523939.260028103 kilogram,524814.6405179908 kilogram,0.0 kilogram,3092.9835740945846 kilogram,455.2246439424658 kilogram,20613.532219255078 kilogram,1437.8483301862761 kilogram,0.0 kilogram
9819400.652281862 kilogram,26902.46754049825 kilogram,07010201,653060.329288 acre,954468.0259392889 kilogram,182324.92471303133 kilogram,8770418.623254728 kilogram,866657.1043141037 kilogram,0.0 kilogram,2614.980892984353 kilogram,499.52034167953786 kilogram,24028.544173300623 kilogram,2374.4030255180924 kilogram,0.0 kilogram
21615483.003908005 kilogram,59220.501380569876 kilogram,07010204,944895.164897 acre,734690.5665015713 kilogram,134855.94432383165 kilogram,20866266.42236675 kilogram,614360.6372174247 kilogram,0.0 kilogram,2012.8508671275927 kilogram,369.4683406132374 kilogram,57167.853211963695 kilogram,1683.1798279929444 kilogram,0.0 kilogram
