HUC_8,P_emitted,P_uptake,P_balance,P_TES
01010001,165662.01488492842,675635.9040592754,-509973.889174347,3.0783996532251723
01010002,26016.503217622627,2562009.2816784023,-2535992.7784607797,97.47631175672336
01010003,195698.38734554718,1023203.1863701721,-827504.7990246249,4.228470199723664
01010004,695624.8928695879,19131048.38439795,-18435423.491528362,26.50196058320837
01010005,347509.6858518456,2602242.0410392415,-2254732.355187396,6.488257585282558
01020001,7020.675282557691,10934182.285603134,-10927161.610320576,1556.4260089721338
01020002,3990.453241052788,5805836.650601423,-5801846.19736037,1453.9316330466984
01020003,78056.5467677608,3525359.6074654693,-3447303.0606977083,44.164175888466616
01020004,24826.991627983443,3671779.77959272,-3646952.7879647366,146.8946718399066
01020005,128372.46103782537,2019384.6826902118,-1891012.2216523865,14.730668917340406
01030001,6642.045677629572,8214910.895585095,-8208268.849907465,1235.8043362382973
01030002,3832.9554665365513,9819400.652281862,-9815567.696815325,2560.835309074083
01030003,1142362.4313673365,21615483.003908005,-20473120.572540667,17.921738329608424
01040001,13032.844752125355,8537883.123509133,-8524850.278757008,654.1051045180909
01040002,230965.27773564364,4056802.8809845713,-3825837.6032489277,16.564557412079377
01050001,3643.460921646545,2498129.4826678517,-2494486.021746205,684.6473930668378
01050002,38491.948418002015,3171378.758153885,-3132886.809735883,81.39070477062903
01050003,88883.01301012114,2585382.2205313165,-2496499.2075211955,28.087472768693363
01050004,16.42718628628367,21089645.64034697,-21089629.213160682,1283824.8039331024
01060001,27354.686035755672,5296473.026042132,-5269118.340006376,192.62214646218354
01060002,43317.495277444905,8311500.529993174,-8268183.034715729,190.87398709825473
01060003,67315.28301757286,20047976.8637602,-19980661.580742627,296.8220690021702
01070001,41158.66869829896,324336632.5351795,-324295473.8664812,7879.153629667422
01070002,11561.174841025837,48638149.53933953,-48626588.3644985,4206.0248230087145
01070003,35296.79814958545,36326783.26165046,-36291486.46350087,1028.180695305563
01070004,65924.14137174794,13354442.386079775,-13288518.244708028,201.57286796916668
01070005,28340.316075980572,17543661.008752424,-17515320.692676444,618.0354744709888
01070006,87418.56007221452,16771291.532863295,-16683872.97279108,190.85046652574584
01080101,61079.017274168786,8538975.566127833,-8477896.548853664,138.80211121928266
01080102,114492.95588244603,33213978.60070337,-33099485.644820925,289.0962626452351
01080103,138609.14893105833,3106579.3044019933,-2967970.155470935,21.4125126541766
01080104,70446.33937653404,12057411.986328408,-11986965.646951875,170.1573957289934
01080105,94141.5620181728,2292985.260071757,-2198843.698053584,23.356779417247463
01080106,155530.89251755486,8481900.691876074,-8326369.79935852,53.53515089241012
01080107,90630.68689386707,8962242.329841236,-8871611.642947368,97.8875030853121
01080201,174514.93215541216,6733740.192910587,-6559225.260755176,37.58546721328085
01080202,22973.978169985116,32449240.438131094,-32426266.45996111,1411.4345465133745
01080203,96511.92838927025,5160620.4916399885,-5064108.563250719,52.47132295217637
01080204,79603.16248541127,582620.5446878172,-503017.38220240595,6.319062792192371
01080205,124606.86081723093,1400321.8473908072,-1275714.9865735762,10.237919310436295
01080206,37978.53175994257,3448519.164988445,-3410540.6332285027,89.8018031551639
01080207,18821.134312223727,2399470.8157453733,-2380649.6814331496,126.4881086304662
01090001,42391.74776506645,2816512.9172487725,-2774121.169483706,65.44012256483941
01090002,153581.15269869973,1108335.8069482327,-954754.654249533,6.21661341559664
01090003,41209.96448828456,75605400.03189223,-75564190.06740394,1833.6388057040385
01090004,214831.47020441206,10842349.176747473,-10627517.70654306,49.46909173237506
01090005,141148.50811510277,12915699.919099825,-12774551.410984721,90.50433179617755
01100001,156840.7392932764,10874602.01636658,-10717761.277073303,68.33531469800182
01100002,103431.65248757729,4909492.002286828,-4806060.349799251,46.46605013273365
01100003,244887.0916805372,1069642.5892602822,-824755.497579745,3.367901067875248
01100004,13299.985360515628,3596907.567204085,-3583607.5818435694,269.44447566704963
01100005,190996.39138638924,934847.8370059159,-743851.4456195267,3.8945837678927737
01100006,4604.099180560298,867591.1125398041,-862987.0133592437,187.43884080581907
01110000,376384.23348158697,4683338.927660947,-4306954.69417936,11.44297319348277
02010001,340204.84667694836,741466.0906539514,-401261.24397700303,1.1794695104918143
02010002,698594.7942585454,441121.94458583725,257472.84967270814,-0.3685582139872332
02010003,158469.79296160876,2138489.521872462,-1980019.728910853,12.494619270377521
02010004,38268.60694014214,1502214.2277346686,-1463945.6207945265,38.254479006365656
02010005,268745.16587433143,2625720.6224793755,-2356975.456605044,8.770298989144218
02010006,58928.491111099385,2352103.905069494,-2293175.413958395,38.914544912324544
02010007,641979.0603878828,1770338.1335377812,-1128359.0731498986,1.7576259768786628
02010008,1470106.1528058883,15325448.518035045,-13855342.365229156,9.424722384015901
02020001,10111.021184854113,3623268.586583235,-3613157.5653983806,357.3484319082171
02020002,29297.495663925332,2885914.955923316,-2856617.4602593905,97.50381032658734
02020003,857095.550071219,1397285.1953040988,-540189.6452328798,0.6302560376004678
02020004,1537594.3614172074,5829300.982530729,-4291706.621113522,2.7911825958816845
02020005,297419.22550085105,5161691.517141923,-4864272.291641072,16.354935641600456
02020006,622318.6833996518,1245432.5620294192,-623113.8786297675,1.0012777942416442
02020007,402896.0638253516,2647089.9354668474,-2244193.8716414957,5.570155861870903
02020008,158120.86754271205,2458255.5950441933,-2300134.7275014813,14.546686741901176
02030101,56085.23252214672,23723350.982315,-23667265.749792855,421.98747665791024
02030102,606.9635671480395,4797164.196410899,-4796557.232843751,7902.545543847877
02030103,31103.425383041445,1111661.7692177373,-1080558.3438346959,34.740814895064574
02030104,29264.268342135372,523586.5772833386,-494322.3089412032,16.89166813131858
02030105,373707.2286532108,1796346.63462917,-1422639.4059759593,3.806828706800655
02030201,23467.7930396653,4331732.249659525,-4308264.45661986,183.5820031878594
02030202,250272.03966663443,5388159.979134087,-5137887.939467453,20.529212717134467
02030203,205.44274909025643,10663370.842720434,-10663165.399971344,51903.34264504382
02040101,194014.35407913872,14249529.765730865,-14055515.411651727,72.44575010114181
02040102,44882.44765999838,1048193.2835226712,-1003310.8358626728,22.35419163106108
02040103,104843.61824356571,877162.2955156001,-772318.6772720345,7.366387103102786
02040104,36944.04772260118,957860.2193949859,-920916.1716723847,24.92732194878034
02040105,962361.8272382843,2768553.5353209195,-1806191.7080826352,1.8768322443398573
02040106,683223.4307233156,3371211.694626405,-2687988.2639030893,3.9342741232650167
02040201,385372.31298395497,3693186.692001415,-3307814.37901746,8.58342508678142
02040202,505646.3738813996,1502641.9547645603,-996995.5808831607,1.971724969033414
02040203,2987092.7001699083,3794218.3340582494,-807125.633888341,0.2702044144269212
02040204,0.0,1079074.555660863,-1079074.555660863,inf
02040205,1009654.6466255726,12533407.51112986,-11523752.864504287,11.413558985756678
02040206,993310.7952065481,41608091.94941189,-40614781.154205345,40.8882913084217
02040207,1822447.0066798113,22247963.36968154,-20425516.36300173,11.207742276256115
02040301,178310.54765868268,3172423.370439614,-2994112.8227809314,16.791563158182782
02040302,101227.96052953653,7183092.0487765,-7081864.088246963,69.95956503717765
02040303,1513814.1742914498,12534454.01613146,-11020639.84184001,7.280047993339928
02040304,231483.46373754053,1429626.4148394892,-1198142.9511019485,5.175933225452429
02050101,977366.0814097199,18267384.04246851,-17290017.96105879,17.690421521606574
02050102,928672.0428409681,4812621.5284176385,-3883949.4855766706,4.182261666556688
