HUC_CODE,Tons_N_Exc,Tons_P2O5_Exc,Tons_K2O_Exc,P_Exc,K_Exc,N_Exc
01010001,48.80138699,28.37016615,34.06543409,11238.857425656995,25753.036676541524,44271.87649624575
01010002,9.42192114,4.839030124,6.576899826,1916.9845306702684,4972.052961058204,8547.423645006673
01010003,49.39240449,30.22980684,34.47798932,11975.555140691717,26064.92320472195,44808.038588779746
01010004,182.3893602,109.50824540000002,127.31549479999998,43381.75358146285,96248.90140586585,165460.85525516496
01010005,87.70812677,53.68031296,61.22398554,21265.48645264411,46284.557564423165,79567.4794422171
01020001,34.42897864,11.51983391,24.03288462,4563.588743090205,18168.55635618148,31233.44610173267
01020002,21.2077925,6.932088627000001,14.80393698,2746.150844832869,11191.58884034492,19239.386997554
01020003,71.18735079,28.65044333,49.69178451,11349.889389623313,37566.35966028954,64580.08258895599
01020004,108.8366265,33.60924485,75.97257281,13314.321426811477,57434.30272510441,98734.9332440772
01020005,582.2417272999999,258.4864907,406.4293744,102399.57002986084,307255.45894099097,528200.8449323049
01030001,35.28985081,13.74319204,24.63380983,5444.373328458076,18622.84820322215,32014.416249099686
01030002,23.83195461,8.514744384,16.63571322,3373.120821419285,12576.388475285881,21619.98697648193
01030003,4200.350197,2806.127539,2932.0222559999997,1111649.0175730165,2216571.686587424,3810493.853395405
01040001,55.42983534,26.30344459,41.45605201,10420.12450641495,31340.250209567876,50285.10408695083
01040002,1097.536975,506.35216510000004,766.6710016,200591.69765319236,579593.5660435797,995668.86115798
01050001,2.389950194,1.181609154,1.6682864119999998,468.0951371395892,1261.2033958441145,2168.1264887538514
01050002,19.55313637,63.03328468,13.64891695,24970.671509069376,10318.408327918636,17738.308107191177
01050003,274.14903189999995,215.5838273,191.36763019999998,85403.65556872709,144671.50444121746,248703.83467439507
01050004,0.015364793,0.010151204,0.010725276,4.021405227292227,8.108172802504003,13.9387066647464
01060001,136.3146932,41.43399339,95.15342664,16414.10000292946,71934.78526310257,123662.61768770334
01060002,113.82284399999999,74.42857402,80.9789376,29484.921850051916,61219.05109239041,103258.35396957118
01060003,208.4510362,97.14342454,156.6146762,38483.42277844323,118398.71142130146,189103.61158488976
01070001,171.9855493,89.56365835,134.738416,35480.694099350694,101860.53580939733,156022.67614461065
01070002,22.81770337,18.60104453,17.87604379,7368.81435010443,13514.062675351994,20699.873668172775
01070003,120.17089709999999,61.08266263,94.1453302,24197.931476621845,71172.67712368413,109017.21125148407
01070004,109.1140331,76.96231594,86.69322206,30488.665150028693,65538.97776321392,98986.59229501688
01070005,32.39170378,20.57904634,25.74199865,8152.400890019054,19460.624914083768,29385.261315318545
01070006,178.36227480000002,100.49631740000001,139.9782356,39811.67318832119,105821.77305594907,161807.54459198305
01080101,270.9320505,123.86150259999998,212.8305554,49067.80456938012,160897.20402869827,245785.43804643242
01080102,641.1943708,241.89797099999998,505.5255836,95828.01853364226,382170.93787754106,581681.7870353239
01080103,680.7246328,303.3793496,535.2011183999999,120183.90156812491,404605.2662962336,617543.0398617415
01080104,320.6186841,154.65700159999997,252.33686980000004,61267.45898039112,190763.47730178258,290860.39681152167
01080105,394.08910130000004,200.59585259999997,310.7047111,79466.16088286482,234888.82599859274,357511.64254502027
01080106,565.296854,332.6450994,443.5353743,131777.54496513933,335307.12485605886,512828.71343661926
01080107,374.17662010000004,185.6369477,293.8005119,73540.1822147751,222109.4655232493,339447.34227009455
01080201,497.34732180000003,232.4617478,393.5088929,92089.85335615434,297487.7385864233,451185.9306576687
01080202,69.55468241,39.63230465,55.06919644,15700.35998578573,41631.614965485096,63098.950651179366
01080203,338.17091339999996,163.69726640000002,268.54128039999995,64848.765012939184,203013.8064595149,306783.5124385963
01080204,159.55077780000002,109.79904669999999,126.7965383,43496.954681541545,95856.57686531486,144742.04044833744
01080205,400.7098158,205.9572445,325.9185624,81590.07932763477,246390.3048726096,363517.8541045598
01080206,54.99958092,29.67305288,43.711276299999994,11754.996743376518,33045.17120663353,49894.783816994015
01080207,31.20945042,16.61735515,25.20204582,6582.974676105555,19052.427414006277,28312.739037377618
01090001,44.81951429,30.82126523,35.61849923,12209.861717652624,26927.134250223084,40659.58210727079
01090002,242.30501780000003,133.39511000000002,191.2987759,52844.548552981665,144619.45146257195,219815.42911188948
01090003,70.17008967,51.55173874,55.65541539,20422.250567030194,42074.789066245066,63657.23876326102
01090004,365.44201569999996,206.8160552,286.5652234,81930.29767397422,216639.67906423693,331523.4419244013
01090005,288.2675731,166.45605980000002,230.4378853,65941.66258447645,174208.12240691955,261511.96064920886
