Crop,ConversionFactor,YieldAcre,PoundsAcre,N,P,K,Ca,Mg,S,Cu,Mn,Zn
Barley,48,50,2400,1.82,0.34,0.43,0.05,0.1,0.16,0.0016,0.0016,0.0031
BarleyStraw,2000,1,2000,0.75,0.11,1.25,0.4,0.1,0.2,0.0005,0.016,0.0025
Buckwheat,48,30,1440,1.65,0.31,0.45,0.09,,,0.0009,0.0034,
BuckwheatStraw,2000,0.5,1000,0.78,0.05,2.26,1.4,,0.01,,,
Corn,56,120,6720,1.61,0.28,0.4,0.02,0.1,0.12,0.0007,0.0011,0.0018
CornStraw,2000,1.5,3000,1.11,0.2,1.34,0.29,0.22,0.16,0.0005,0.0166,0.0033
Oats,32,80,2560,1.95,0.34,0.49,0.08,0.12,0.2,0.0012,0.0047,0.002
OatsStraw,2000,2,4000,0.63,0.16,1.66,0.2,0.2,0.23,0.0008,0.003,0.0072
Rice,45,5500,247500,1.39,0.24,0.23,0.08,0.11,0.08,0.003,0.0022,0.0019
RiceStraw,2000,2.5,5000,0.6,0.09,1.16,0.18,0.1,,,0.0316,
Rye,56,30,1680,2.08,0.26,0.49,0.12,0.18,0.42,0.0012,0.0131,0.0018
RyeStraw,2000,1.5,3000,0.5,0.12,0.69,0.27,0.07,0.1,0.03,0.0047,0.0023
Sorghum,56,60,3360,1.67,0.36,0.42,0.13,0.17,0.17,0.0003,0.0013,0.0013
SorghumStraw,2000,3,6000,1.08,0.15,1.31,0.48,0.3,0.13,,0.0116,
Wheat,60,40,2400,2.08,0.62,0.52,0.04,0.25,0.13,0.0013,0.0038,0.0058
WheatStraw,2000,1.5,3000,0.67,0.07,0.97,0.2,0.1,0.17,0.0003,0.0053,0.0017
Flax,56,15,840,4.09,0.55,0.84,0.23,0.43,0.25,,0.0061,
FlaxStraw,2000,1.75,3500,1.24,0.11,1.75,0.72,0.31,0.27,,,
Oil palm,1,22000,22000,1.13,0.26,0.16,0.19,0.09,,0.0043,0.0225,
Oil palmStraw,2000,5,10000,1.07,0.49,1.69,,0.36,,,,
Peanuts,26,2800,72800,3.6,0.17,0.5,0.04,0.12,0.24,0.0008,0.004,
