HUC_8,P,N,K,PManure,NManure,KManure,PFert,NFert,KFert
01010001,165662.01488492842,562289.3244778187,476242.6592587831,11238.857425656997,44271.87649624575,25753.036676541524,154423.15745927143,518017.44798157294,450489.62258224154
01010002,26016.503217622627,89433.77495376908,75757.77393876319,1916.9845306702684,8547.423645006673,4972.052961058203,24099.518686952357,80886.35130876242,70785.72097770499
01010003,195698.38734554718,660948.9216488019,560646.868175501,11975.555140691717,44808.03858877975,26064.92320472195,183722.83220485545,616140.8830600221,534581.944970779
01010004,695624.8928695879,2352981.9916027584,1995419.1526278618,43381.75358146285,165460.85525516493,96248.90140586584,652243.139288125,2187521.1363475933,1899170.251221996
01010005,347509.6858518456,1173674.2202638462,995563.7332116527,21265.48645264411,79567.4794422171,46284.557564423165,326244.1993992015,1094106.740821629,949279.1756472295
01020001,7020.675282557691,40105.82845045695,31538.646823086667,4563.588743090205,31233.446101732672,18168.55635618148,2457.086539467487,8872.382348724283,13370.090466905183
01020002,3990.453241052788,23736.920905409017,18119.692157055528,2746.150844832869,19239.386997554,11191.588840344919,1244.3023962199193,4497.533907855016,6928.103316710609
01020003,78056.5467677608,289174.26612002996,240762.25406049725,11349.889389623313,64580.082588955986,37566.359660289534,66706.65737813749,224594.183531074,203195.8944002077
01020004,24826.991627983443,139628.67093381658,114140.28018479393,13314.321426811477,98734.93324407721,57434.30272510441,11512.670201171964,40893.73768973937,56705.977459689515
01020005,128372.46103782537,624740.4403112353,479489.2784696134,102399.57002986084,528200.8449323049,307255.4589409909,25972.891007964532,96539.59537893037,172233.81952862252
01030001,6642.045677629572,36730.85438715529,27778.060521602092,5444.373328458076,32014.416249099686,18622.84820322215,1197.6723491714968,4716.4381380556015,9155.21231837994
01030002,3832.9554665365513,23745.500884160752,16963.37212220098,3373.120821419285,21619.98697648193,12576.38847528588,459.83464511726606,2125.513907678821,4386.9836469151005
01030003,1142362.4313673365,3923167.7895907843,2488208.909744215,1111649.0175730165,3810493.853395405,2216571.686587424,30713.413794320044,112673.93619537928,271637.22315679106
01040001,13032.844752125355,78523.05695037257,46376.74225161668,10420.12450641495,50285.10408695083,31340.25020956788,2612.720245710405,28237.952863421742,15036.492042048796
01040002,230965.27773564364,1090121.4329081443,717001.5416157737,200591.6976531924,995668.86115798,579593.5660435797,30373.580082451266,94452.57175016424,137407.97557219391
01050001,3643.460921646545,13395.95446793926,16673.327498408595,468.09513713958916,2168.126488753852,1261.2033958441145,3175.365784506956,11227.82797918541,15412.12410256448
