Year,HUC_CODE,HUC_NAME,Tons_N_Farm_Fert,Tons_P2O5_Farm_Fert,Tons_K2O_Farm_Fert,Tons_N_Exc,Tons_P2O5_Exc,Tons_K2O_Exc,Tons_N_Recovered,Tons_P2O5_Recovered,Tons_K2O_Recovered,Tons_N_Fixed_Legumes,Tons_N_Rem,Tons_P2O5_Rem,Tons_K2O_Rem,BalanceN_Tons,BalanceP2O5_Tons,BalanceK2O_Tons,RatioN,RatioP2O5,RatioK2O,N_PPCA,P2O5_PPCA,K2O_PPCA,FarmNPPCA,FarmP2O5PPCA,FarmK2OPPCA,TotalPlantedAc,TotalHarvestedAc,TotalCropland,OtherCropAcres
2014,1010001,NULL,571.0164544,389.8092545,595.8957283,48.80138699,28.37016615,34.06543409,8.129316536,8.252133892,20.79354097,28.64434567,620.5562883,230.6442427,774.2731239,-12.76617161,167.4171457,-157.5838547,1.021004244,0.579418777,1.25553202,-1.215931308,15.94587282,-15.0092877,54.38723569,37.12791047,56.75689583,,11286.4144,20998.17897,6118.015039
2014,1010002,'' Allagash '',89.16193405,60.83423994,93.63347487,9.42192114,4.839030124,6.576899826,1.656595754,1.447737353,4.014539654,4.61423536,100.5657132,37.37508102,125.4569821,-5.132948042,24.90689628,-27.8089676,1.053786014,0.600094644,1.284787845,-3.012374636,14.6171171,-16.3202565,52.32648888,35.70180721,54.95070328,,1833.810907,3407.908153,987.2317739
2014,1010003,'' Fish '',679.1790196,463.7702106,707.1308227,49.39240449,30.22980684,34.47798932,7.201379975,7.8763613,21.04536468,33.31944006,720.6032542,267.7286076,898.9858499,-0.903414578,203.9179644,-170.8096626,1.001255266,0.567646673,1.234571887,-0.073952942,16.69259472,-13.98237022,55.59716209,37.96393414,57.88527888,,13144.27331,24432.14704,7065.915741
2014,1010004,'' Aroostook '',2411.329132,1646.452618,2512.172053,182.3893602,109.5082454,127.3154948,27.35697415,29.07960971,77.713378,118.7647425,2570.011764,954.8886775,3206.120676,-12.56091512,720.6435497,-616.2352457,1.004911498,0.569901708,1.237939192,-0.288314496,16.54115009,-14.1446346,55.34796934,37.79152658,57.66264749,,46880.39182,87133.42734,25199.19447
2014,1010005,'' Meduxnekeag '',1206.046156,823.5358624,1255.681324,87.70812677,53.68031296,61.22398554,12.787787,13.98637913,37.37112077,59.16670191,1279.604875,475.4167143,1596.366197,-1.604230471,362.1055273,-303.3137523,1.001255266,0.567646673,1.234571887,-0.073952942,16.69259472,-13.98237022,55.59716209,37.96393414,57.88527888,,23340.82743,43385.16969,12547.23758
2014,1020001,'' West Branch Penobscot '',9.780126771,6.202405701,17.68560117,34.42897864,11.51983391,24.03288462,8.874143483,5.875712181,14.66967277,2.885114051,69.1190337,25.91776049,86.00093387,-47.57964939,-13.8396426,-53.64565994,3.208960512,2.145844306,2.658019031,-41.50614129,-12.07302216,-46.79782995,8.531700608,5.410673064,15.42804687,,1236.409236,2292.655877,704.3830725
2014,1020002,'' East Branch Penobscot '',4.95768217,3.140983499,9.164311373,21.2077925,6.932088627,14.80393698,5.571891385,3.670494282,9.036323132,1.381820284,33.35215329,12.55058165,41.15885922,-21.44075945,-5.739103872,-22.95822471,2.800021034,1.842563693,2.261396942,-38.15458032,-10.21293579,-40.85496275,8.822368582,5.589489845,16.30821218,,620.5543551,1123.889151,314.347929
2014,1020003,'' Mattawamkeag '',247.5726925,168.3871306,268.7821415,71.18735079,28.65044333,49.69178451,17.10690636,12.68140403,30.33186526,15.11725451,335.1940937,125.175296,418.3946905,-55.39724038,55.89323861,-119.2806838,1.197990934,0.691314459,1.398780001,-9.752681926,9.840002395,-20.99935956,43.58516249,29.64454753,47.31908513,,6112.134034,11360.41159,3339.500189
2014,1020004,'' Piscataquis '',45.07762662,29.06134975,75.00916346,108.8366265,33.60924485,75.97257281,26.26192224,15.74031565,46.37365844,10.62516964,256.664828,95.81145671,319.9308482,-174.7001095,-51.0097913,-198.5480263,3.131406204,2.138569088,2.635717667,-40.46417713,-11.81492809,-45.98785043,10.44091543,6.731212748,17.37368159,,4662.776449,8634.803517,2553.771694
2014,1020005,'' Lower Penobscot '',106.4166809,65.56318008,227.8263298,582.2417273,258.4864907,406.4293744,157.7927677,145.4908152,248.0844901,41.78952294,985.5792902,371.4681307,1228.550398,-679.5803187,-160.4141354,-752.6395779,3.220858179,1.760062065,2.581471878,-40.00861273,-9.44398601,-44.30979617,6.265019242,3.85987029,13.41271245,,18406.96334,33971.7012,9363.487241
